speech_id,topic_id,word_count,speech_text,file_name,speaker_id,session_title,year,day,month
13988,topic-id,161,"Mr.Speaker, I rise today to strongly urge my colleagues in the United States Senate to confirm Judge Neil Gorsuch to the U.Supreme  Since being nominated by President Trump, Judge Gorsuch has provided unprecedented transparency and access. He has completed three rounds of intense questioning by the Senate Judiciary Committee, which totaled nearly 20 hours and covered nearly 1,200 questions. This was the longest hearing of any nominee in the 21st century.  During this time, Judge Gorsuch showed himself to be uniquely qualified and experienced to serve on our Nation's highest court. In fact, he showed the exact same qualification that previously earned him unanimous approval by the U.Senate in 2006 to serve on the Tenth Circuit Court of Then-Senators Obama, Biden, Clinton, and Schumer were all serving in the Senate at that time and raised no objections whatsoever to Judge Gorsuch's nomination.  Mr.Speaker, it is time for the Senate to put politics aside and confirm Judge Gorsuch to the U.Supreme                          ____________________",CREC-2017-04-03-pt1-PgH2604-8.txt,2270,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,3.0,April
14004,topic-id,212,"Mr.Speaker, it is with a heavy heart that I rise today to honor two young men who gave their lives in service to the State of Texasand the United States when their Apache helicopter crashed in Galveston Bay, Texas, during a training mission last week in mycongressional district.  My deepest sympathies go out to the families of Army Chief Warrant Officer 2 Lucas Lowe of Daisetta,Texas, a resident of the 36th Congressional District, which I represent, and Army Chief Warrant Officer 3 Dustin Mortenson ofLeague City,  The heartbreaking loss of these two fine Texas Army National Guard pilots, assigned to the FirstSquadron 149th Attack Reconnaissance Battalion of the 36th Infantry Division, has been felt throughout our southeast Both men tragically leave behind a wife and family. Chief Warrant Officer Lucas Lowe's wife, Kami, was also pregnantwith twins due next month, in  As a former Texas Guardsman myself, my prayers remain with all those who have beenimpacted by this terrible tragedy. As the U.Congressman for District 36, it is my commitment and duty to the families to seethat they get the support they need during this very difficult time.  Please keep these families in your thoughts and yourprayers. May God bless these two soldiers, their families, and all who serve their country.                          ____________________",CREC-2017-01-04-pt1-PgH60-4.txt,2270,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,4.0,January
14090,topic-id,205,"Mr.Speaker, I thank Congressman Doug Collins for leading this very Special Order on a topic that is very near and dear to my heart, the invaluable role of community pharmacists in our society.  As a rural dentist who practiced for 35 years, I can relate to the plight of community pharmacists who must overcome all of the challenges involved in running a small business while serving their patients and serving their customers and doing their job as a medical professional.[[Page H1451]]  Just like my small hometown of Woodville, Texas, where I practice, many of the areas in which community pharmacies are located are rural and have underserved, low-income and elderly populations. This can present unique challenges and, oftentimes, results in community pharmacists performing a lot of services, such as face-to-face counseling and planning services for patients' medication regimen at no charge, care that is uncompensated by Medicare and not typically reimbursed by private insurance companies as well.  What is even more challenging is the uphill battle that community pharmacists continually face in just getting adequate payment for the lifesaving medications that they dispense on a daily basis and still be able to earn a small profit.  Community pharmacists rely on pharmacy benefit managers, or PB",CREC-2017-03-01-pt1-PgH1449-4.txt,2270,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,1.0,January
14111,topic-id,348,"Mr.Speaker, I think the real question for the majority is: What do you have against Secretary-elect Ryan Zinke? He is being given a brand-new rule and the keys to the castle. He has a clean slate to develop the playbook for a hugely impactful planning process and free rein to make it what he wants.  Yet, one of the first moves the majority is making, before Mr.Zinke has even been confirmed, is to undo Planning 2.0 and leave the agency with a planning process that was written before my staff was born. In other words, the majority is tying Mr.Zinke's hands.  Quite simply, the majority is laboring under the false impression that Planning 2.0 makes the BLM's planning process worse when, in fact, it makes it better. Under the current regulatory framework for resource management plans, it takes BLM an average of 8 years to update and revise a plan, and this matters because, by the time the plan is completed, it is almost already out of date. Significant public involvement doesn't happen until the end of the process. There is often litigation which stalls the process even more. This is a huge waste of government resources and taxpayer money.  Mr.Speaker, as Ranking Member Grijalva said earlier, the use of the Congressional Review Act to revoke BLM Planning 2.0, or any other Federal regulation, is a radical step. That is the reason why the Congressional Review Act has only been used once before this year.  Once Congress approves the Congressional Review Act resolution, the agency can never issue a similar rule. So this is an extreme overreach in general, but especially for something like BLM's Planning 2.0, which is designed to enhance efficiency and make BLM more responsive to public input.  Isn't our goal to improve how government works and make it more efficient? This resolution will permanently lock us into an old rule that didn't work for anybody.  I know House Republicans and President Trump are eager to roll back regulations, but we should pump the brakes on this particular resolution. A lot has changed since 1983.  ",CREC-2017-02-07-pt1-PgH1032.txt,2272,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,7.0,January
14206,topic-id,201,"Mr.Speaker, I agree with the gentleman from Massachusetts (Mr.McGovern). I was in the middle ofhundreds of hours of discussion and debate in committee, on the floor. It is amazing to think of all the time and energy thatwent into it.  Was it a perfect bill? Absolutely not. It would have been much better if the legislative process hadn't collapsed in theSenate and forced reconciliation as the vehicle.  The offer to somehow become bipartisan and work together to solve the problems ring hollow. I have been on the Ways andMeans Committee for the last 6 years when Republicans were in charge with constant efforts to repeal ObamaCare, but they refusedto work with us to fine-tune the legislation when we could move forward and build on this foundation and not be in a situationwhere we are going to unsettle healthcare markets, leave people doubting about where they are, and having no clue about whatcomes forward.  There is a reason, after 6 years, the Republicans do not have an alternative to offer now. It is because their wildlycontradictory promises cannot be met.  I urge rejection of the rule and rejection of this effort to gut the most important healthcare reform in the last 50years.  ",CREC-2017-01-13-pt1-PgH477-2.txt,99,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,13.0,January
14083,topic-id,234,"Mr.President, I am proud to recognize and celebrate the 25th anniversary of Alexion Pharmaceuticals, a company that has brought life-transforming therapies to patients around the world from its headquarters in New Haven, Since its establishment by Leonard Bell in 1992, Alexion has become a global leader in discovering, developing, and delivering therapies for people with devastating and rare disorders. I have always been honored to call Alexion a Connecticut company, and I applaud the life-changing gains in medicine that it has made from the city of New Haven since 1992.  Even while maintaining a commitment to developing new therapies that impact the lives of patients with rare disorders throughout the world, Alexion has always remained committed to its community in Whether it is helping connect individuals who are homeless with temporary work assignments in New Haven, partnering with scientists at the University of Connecticut, or subsidizing public transportation to help students get to their classes at Gateway Community College, Alexion has proven time and time again that its commitment to the people of Connecticut and to its over 1,000 employees in the State is as strong as ever.  On its 25th anniversary, I applaud Alexion and the people who work so tirelessly for Alexion's values and commitment each and every day. Alexion continues changing lives through its medical breakthroughs, and I am so pleased to know that they call Connecticut home. Thank you.                          ____________________",CREC-2017-02-16-pt1-PgS1300.txt,2076,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,16.0,January
14059,topic-id,72,"Mr.President, I ask unanimous consent that privileges of the floor be granted to the following individuals with the Committee on Energy and Natural Resources: Frances Brie Van Cleve, a Democratic fellow, through December 31, 2017; Stephanie Teich-McGoldrick, a Democratic fellow, through December 31, 2017; Patricio Portillo, a Democratic fellow, through December 31, 2017; and Devinn Lambert, a Democratic detailee, through December 31, 2017.  The PRESIDING Without objection, it is so ordered.                          ____________________",CREC-2017-03-07-pt1-PgS1647-2.txt,172,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,7.0,January
14096,topic-id,1979,"Mr.President, today I wish to join the American people in celebrating Women's History I would like to begin that celebration by paying homage to several women whose ingenuity and inventions have shaped modern society, but who, like innumerable women throughout history, have not received the credit or recognition they are due.  Katherine Blodgett is a good place to start. In 1935, she invented the first transparent glass that eliminated distortion and glare. Before her, glass contained small bubbles and inclusions that was suitable for windows, but little else. Her method of producing and cutting glass revolutionized the material and is the reason we have camera lenses, microscopes, and eyeglasses today. Without her pioneering work, our ability to see and our ability to look into the universe would be degraded.  In 1942, the actress Hedy Lamarr and a partner were granted a U.patent for a secret communication system that involved manipulating radio frequencies to form an unbreakable code to prevent classified messages from being intercepted. The significance of her invention was not fully realized until the 1960s, when it was used by naval ships during the Cuban Missile We were able to navigate that perilous nuclear threat successfully in part because of her self-taught inventiveness and skill. Lamarr's coded communications system has been used by numerous military agencies since.  Just 2 years later, in 1944, Grace Hopper made her own kind of history, becoming what many consider to be one of the world's first computer scientists. She invented the compiler that translated written language into computer code and coined the terms ``bug'' and ``debugging.'' Fifteen years later, she led the team that developed COBOL, one of the very first programming languages.  More recently, in 1965, Stephanie Kwolek invented We know Kevlar best as the material used to manufacture bulletproof vests, protecting our police officers and first responders in their greatest moments of crisis, but Kevlar is widely considered to be one of the strongest, most durable materials ever invented and has become a critical component in the manufacturing of airplanes, boats, cars, and bridge cables.  I pause to honor these great inventors and scientists because their names should be familiar, but they aren't. As long as toxic, gender-role stereotypes persist, these women serve as important examples that such stereotypes are hollow and wrong. Women have been serving on the frontlines of war, science, and invention since long before men ``allowed'' them.[[Page S2045]]  These women and others are part of our untold history. You will rarely hear them discussed in American classrooms, and you will seldom find their stories printed in textbooks. Most people wouldn't even recognize their names; yet our lives and fortunes have been shaped by them. Every day, men go to work protected by Kevlar vests, live their daily lives with the benefit of eyeglasses, or boot up their laptop computer using the devices and tools women gave them. That is both the majesty and tragedy of women's history: it is inextricable and powerful and entirely undervalued.  This Women's History Month should not pass without each and every one of us at the very least taking the time to acknowledge and appreciate the women of history who helped to invent modern society, who fought alongside men in every war, who gave us more complete rights and equality, who endured the habitual and everyday scorn of sexism--and who did so generation after generation without accolade or recognition.  Perhaps the best way to honor the past is to secure the future. The denizens of women's history didn't endure systemic misogyny or work so hard to change our world so that we would peer backward and applaud. They did so with the hope we would look forward and make progress.  We still have a long way to go, but we have made progress. Thanks to the Affordable Care Act, being a woman is no longer considered a ``preexisting condition'' that warrants higher premiums and deductibles. Also thanks to the Affordable Care Act, preventative services for women--like mammograms, cervical cancer screenings, and prenatal care--are covered by insurance companies. Today more than 48 million American women take advantage of that.  Thanks to the Lilly Ledbetter Fair Pay Act, women have extended protection in cases of wage discrimination. The Lilly Ledbetter Act finally recognized that, when pay discrimination occurs, it is not a single event, but a chronic and repeated offense that inflicts ongoing damage with each and every substandard paycheck. This simple and commonsense recognition has allowed women to seek justice against the kind of economic disenfranchisement that has plagued generations.  Progress, however, does not have its own autopilot button. We must be its stewards and its champions. We must be its agents. We must protect it actively, each and every day, or else we will be complicit in its loss.  I am talking about women's reproductive rights. A woman's right to make her own decisions is under threat today. Her body is her body. It is not ours, and it certainly is not the government's. Roe v. Wade decided that in 1973, yet 44 years later, the Federal Government is run by a party that uses every tool at its disposal to chip away at reproductive rights. Whether it is State policies to limit the types of buildings abortions can be performed in or the threat to defund Planned Parenthood, women's rights are under attack.  Let's be clear that Federal funding for abortion services is already banned under the Hyde Today's witch hunt against Planned Parenthood is not substantive in nature; it is a thinly-veiled attempt to prolong a culture war with the hope of assuaging far-right voters. Women's reproductive rights deserve more than to be treated as a political punchline. Reproductive rights were hard-won by centuries of activism and pain, and we--all Members of this Chamber--must vow this month and every month to honor that with our votes and with our voices. We must vow not to let women's reproductive rights be diminished on our watch.  It is 2017, and still, women are expected to be everything simultaneously, all while they are refused the tools and the freedom to balance such difficult demands. It is 2017, and still, families--mothers most of all--are too often forced to choose between parenthood and economic security, between recovering from childbirth and their career. No woman, no matter what her line of work or Zip Code may be, should be forced to make such an impossible decision. It is our job to pass legislation to ensure no woman has to.  Even with the Lilly Ledbetter legislation, women today are paid, on average, just 77 cents for every dollar men receive for performing the same work. That gap is even worse for women of color: African-American women only earn 64 cents to the dollar, while Latina women earn only 55 cents. That is a problem begging to be solved by That is a problem for all of us. Women are powerful economic engines in this country, and if we continue to stand idly by while their work is underpaid and undervalued, we will all suffer. We will all have to explain to our daughters and granddaughters why we didn't fight harder for them.  Critically, there is also the issue of violence against women. It is a moral outrage that women experience about 4.8 million intimate partner related physical and sexual assaults every single year. When women stand up and tell us the stories behind this number, we must sit down and listen. We must stop speaking over them with advice on how to protect themselves or avoid certain social situations. They shouldn't have to. It is insulting to presume they require lectures on personal safety, but that men don't require lectures on consent. This problem demands a cultural shift, and we must be its purveyors.  There is the issue of college affordability. A related issue is access to and participation in science, technology, engineering, and mathematics, STEM, programs and--of equal importance--encouragement to join them. Women need to be better represented in positions of power.  These and other issues are what is at stake. These and other issues are why we recognize Women's History Month: to remind ourselves and each other that women helped build this Nation and this world. We need to remind ourselves that women are therefore entitled to equal representation in it and equal access to its opportunities. We need to remind ourselves that women deserve equal respect and equal protection under the law and that women's rights are human rights. We all prosper when we fight to protect them.  Toward these ends, I have led the charge in Congress to ratify the Equal Rights Many Americans would be shocked to learn that the Constitution still lacks a provision ensuring gender equality. That is wrong, but it is fixable. I have introduced S.5, legislation to remove the deadline for States to ratify the Equal Rights Amendment, which would pave the way for its formal adoption. Nevada recently passed the Equal Rights Amendment, leaving us just two States shy of success.  The Equal Rights Amendment is only slightly longer than two tweets, but its ratification would finally give women full and equal protection under the It reads as follows:       Section 1. Equality of rights under the law shall not be      denied or abridged by the United States or by any State on      account of sex.       Section 2. The Congress shall have the power to enforce, by      appropriate legislation, the provisions of this article.       Section 3. This amendment shall take effect two years after      the date of ratification.  It is that simple, and it is both necessary and past time to adopt it.  When Congress passed the ERA in 1972, it provided that the measure had to be ratified by three-fourths of the States, 38 States, within 7 years. The original deadline was later extended to 10 years by a joint resolution enacted by Ultimately, 35 States ratified the ERA by the time the revised deadline expired, leaving advocates a little short.  Article V of the Constitution contains no time limits for ratification of constitutional amendments. In fact, in 1992, the 27th Amendment to the Constitution prohibiting immediate congressional pay raises was ratified after 203 years. The Senate could pass my legislation removing the 10-year deadline right now. I strongly encourage the majority leader to bring S.5 up for a vote as soon as possible. American women deserve to know that their most fundamental rights are explicitly protected by our nation's most venerated document.  I have often said that how a nation treats its women is a good barometer of that nation's potential for success as a whole. I hold the United States of America to that standard. Every day, I weigh the successes and failures we have had along the path toward fair treatment and gender equality, and I assess ways Congress can facilitate more successes. Every day, I reevaluate how best to fight for the Equal Rights Amendment, how best to protect reproductive rights, how best to fight for[[Page S2046]]paid family leave and affordable higher education and greater representation in this very  I invite every Senator to do the same, both because those are the right battles and because fighting them protects gender equality progress that has been so hard-won by the women of this We must not allow those victories to be reversed. We must keep progressing.  This Women's History Month, I am reminded of what the poet G.Anderson once said: ``Feminism is not about making women strong. Women are already strong. It's about changing the way the world perceives that strength.'' Let us remember it is precisely that strength that has propelled our world forward. It is precisely that strength that serves as the foundation of so many of this country's successes, and it is precisely that strength we must remember and meet with our own, when women's rights are under siege.                          ____________________",CREC-2017-03-28-pt1-PgS2044-2.txt,,"PROVIDING FOR CONSIDERATION OF S. CON. RES. 3, CONCURRENT RESOLUTION ON",2017.0,28.0,January
14007,topic-id,45,"Mr.President, I ask unanimous consent that the following[[Page S1400]]congressional fellows in the office of Senator Tom Udall be granted floor privileges for the remainder of the 115th Their names are Emma Locatelli, Sean MacDougall, and Angela  The PRESIDING Without objection, it is so ordered.                          ____________________",CREC-2017-02-16-pt2-PgS1399-5.txt,179,PRIVILEGES OF THE FLOOR,2017.0,16.0,January
14051,topic-id,29,"Mr.President, I ask unanimous consent that Christopher Friese, from my staff, be granted floor privileges for the duration of today's proceedings.  The PRESIDING Without objection, it is so ordered.  ",CREC-2017-01-24-pt1-PgS456-2.txt,1828,RUSSIA AND TRUMP CAMPAIGN INVESTIGATION,2017.0,24.0,January
