2244,Ralph,ABRAHAM,REPRESENTATIVE,R,LA,5,A000374,114
1695,Lamar,ALEXANDER,SENATOR,R,TN,N/A,A000360,114
2239,Rick,ALLEN,REPRESENTATIVE,R,GA,12,A000372,114
2350,Jodey,ARRINGTON,REPRESENTATIVE,R,TX,N/A,A000375,115
1558,Tammy,BALDWIN,SENATOR,D,WI,N/A,B001230,114
2238,Barry,BARR,REPRESENTATIVE,R,GA,11,L000583,114
2311,Nanette,BARRAGAN,REPRESENTATIVE,D,CA,N/A,B001300,115
1881,John,BARRASSO,SENATOR,R,WY,N/A,B001261,114
62,Joe,BARTON,REPRESENTATIVE,R,TX,6,B000213,114
1954,David,BERGMAN,REPRESENTATIVE,R,TN,N/A,R000582,115
1596,Greg,BIGGS,REPRESENTATIVE,R,OR,N/A,W000791,115
1838,Gus,BILIRAKIS,REPRESENTATIVE,R,FL,12,B001257,114
2063,Diane,BLACK,REPRESENTATIVE,R,TN,6,B001273,114
1748,Marsha,BLACKBURN,REPRESENTATIVE,R,TN,7,B001243,114
2076,Richard,BLUM,SENATOR,D,CT,N/A,B001277,114
99,Earl,BLUMENAUER,REPRESENTATIVE,D,OR,3,B000574,114
2076,Richard,BLUMENTHAL,SENATOR,D,CT,N/A,B001277,114
1464,Roy,BLUNT,SENATOR,R,MO,N/A,B000575,114
1687,John,BOOZMAN,SENATOR,R,AR,N/A,B001236,114
2243,Mike,BOST,REPRESENTATIVE,R,IL,12,B001295,114
2155,Jim,BRIDENSTINE,REPRESENTATIVE,R,OK,1,B001283,114
2106,Julia,BROWN,REPRESENTATIVE,D,CA,26,B001285,114
2233,Ken,BUCK,REPRESENTATIVE,R,CO,4,B001297,114
,,BUDD,REPRESENTATIVE,R,GA,1,1E+17,114
1751,Michael,BURGESS,REPRESENTATIVE,R,TX,26,B001248,114
172,Maria,CANTWELL,SENATOR,D,WA,N/A,C000127,114
1676,Shelley,CAPITO,SENATOR,R,WV,N/A,C001047,115
1564,Michael,CAPUANO,REPRESENTATIVE,D,MA,7,C001037,114
2310,Salud,CARBAJAL,REPRESENTATIVE,D,CA,N/A,C001112,115
,,CARDIN,SENATOR,D,MD,N/A,1E+17,114
179,Thomas,CARPER,SENATOR,D,DE,N/A,C000174,114
2159,Matt,CARTWRIGHT,REPRESENTATIVE,D,PA,17,C001090,114
1828,Robert,CASEY,SENATOR,D,PA,N/A,C001070,114
186,Steve,CHABOT,REPRESENTATIVE,R,OH,1,C000266,114
1E+14,,CHENEY,N/A,Party information Unavailable,State Info Unavailable,N/A,1E+16,115
2055,David,CICILLINE,REPRESENTATIVE,D,RI,1,C001084,114
213,Thad,COCHRAN,SENATOR,R,MS,N/A,C000567,114
1912,Mike,COFFMAN,REPRESENTATIVE,R,CO,6,C001077,114
,,COHEN,REPRESENTATIVE,D,TN,9,1E+17,114
